PacketID,SourceID,DestinationID,CreationTime,DeliveryTime,Delay
0,101,105,0,2,2
1,107,108,0,2,2
2,109,102,0,2,2
3,102,100,0,2,2
4,101,103,0,2,2
5,104,100,0,2,2
7,105,104,0,2,2
8,108,107,0,2,2
9,106,105,0,2,2
12,102,105,0,2,2
13,102,101,0,2,2
15,107,106,0,2,2
17,103,101,0,2,2
19,107,103,0,2,2
21,107,101,0,2,2
24,108,100,0,2,2
25,102,108,0,2,2
28,103,101,0,2,2
29,109,101,0,2,2
30,100,107,0,2,2
31,109,100,0,2,2
32,108,106,0,2,2
38,102,105,0,2,2
39,109,100,0,2,2
40,107,102,0,2,2
41,107,101,0,2,2
42,108,109,0,2,2
45,102,100,0,2,2
46,108,103,0,2,2
47,103,102,0,2,2
48,101,100,0,2,2
53,100,105,0,2,2
54,104,101,0,2,2
55,107,104,0,2,2
57,104,103,0,2,2
58,103,107,0,2,2
59,101,102,0,2,2
60,106,105,0,2,2
61,106,105,0,2,2
64,109,103,0,2,2
69,100,103,0,2,2
71,106,101,0,2,2
73,106,105,0,2,2
77,106,100,0,2,2
80,100,103,0,2,2
82,105,106,0,2,2
83,100,103,0,2,2
87,108,105,0,2,2
89,104,101,0,2,2
91,108,101,0,2,2
94,103,105,0,2,2
97,100,107,0,2,2
98,109,100,0,2,2
11,109,106,0,7,7
14,109,106,0,7,7
