SourceID,DestinationID,Delivered,Total,DeliveryRatio
100,103,3,4,0.75
100,104,0,1,0
100,105,1,1,1
100,106,0,1,0
100,107,2,2,1
100,108,0,1,0
100,109,0,1,0
101,100,1,1,1
101,102,1,2,0.5
101,103,1,2,0.5
101,105,1,2,0.5
101,108,0,1,0
101,109,0,2,0
102,100,2,2,1
102,101,1,4,0.25
102,105,2,2,1
102,107,0,1,0
102,108,1,1,1
102,109,0,1,0
103,101,2,2,1
103,102,1,2,0.5
103,105,1,1,1
103,107,1,1,1
103,109,0,1,0
104,100,1,1,1
104,101,2,2,1
104,102,0,1,0
104,103,1,1,1
104,107,0,3,0
104,109,0,2,0
105,101,0,1,0
105,104,1,2,0.5
105,106,1,1,1
105,108,0,1,0
106,100,1,1,1
106,101,1,1,1
106,103,0,1,0
106,105,4,4,1
106,107,0,1,0
106,108,0,1,0
106,109,0,2,0
107,101,2,2,1
107,102,1,1,1
107,103,1,1,1
107,104,1,2,0.5
107,106,1,2,0.5
107,108,1,1,1
107,109,0,3,0
108,100,1,1,1
108,101,1,1,1
108,102,0,1,0
108,103,1,1,1
108,105,1,1,1
108,106,1,2,0.5
108,107,1,1,1
108,109,1,2,0.5
109,100,3,3,1
109,101,1,2,0.5
109,102,1,1,1
109,103,1,1,1
109,104,0,2,0
109,106,2,2,1
109,107,0,2,0
