PacketID,SourceID,DestinationID,PathLength,Path
0,101,105,3,"101->19->105"
1,107,108,3,"107->7->108"
2,109,102,3,"109->1->102"
3,102,100,3,"102->1->100"
4,101,103,3,"101->13->103"
5,104,100,3,"104->1->100"
7,105,104,3,"105->29->104"
8,108,107,3,"108->7->107"
9,106,105,3,"106->30->105"
12,102,105,3,"102->39->105"
13,102,101,3,"102->61->101"
15,107,106,3,"107->22->106"
17,103,101,3,"103->13->101"
19,107,103,3,"107->3->103"
21,107,101,3,"107->22->101"
24,108,100,3,"108->2->100"
25,102,108,3,"102->58->108"
28,103,101,3,"103->13->101"
29,109,101,3,"109->23->101"
30,100,107,3,"100->7->107"
31,109,100,3,"109->1->100"
32,108,106,3,"108->30->106"
38,102,105,3,"102->39->105"
39,109,100,3,"109->1->100"
40,107,102,3,"107->69->102"
41,107,101,3,"107->3->101"
42,108,109,3,"108->73->109"
45,102,100,3,"102->1->100"
46,108,103,3,"108->7->103"
47,103,102,3,"103->24->102"
48,101,100,3,"101->9->100"
53,100,105,3,"100->32->105"
54,104,101,3,"104->29->101"
55,107,104,3,"107->73->104"
57,104,103,3,"104->29->103"
58,103,107,3,"103->3->107"
59,101,102,3,"101->61->102"
60,106,105,3,"106->9->105"
61,106,105,3,"106->9->105"
64,109,103,3,"109->23->103"
69,100,103,3,"100->7->103"
71,106,101,3,"106->22->101"
73,106,105,3,"106->30->105"
77,106,100,3,"106->22->100"
80,100,103,3,"100->7->103"
82,105,106,3,"105->30->106"
83,100,103,3,"100->7->103"
87,108,105,3,"108->44->105"
89,104,101,3,"104->29->101"
91,108,101,3,"108->35->101"
94,103,105,3,"103->13->105"
97,100,107,3,"100->7->107"
98,109,100,3,"109->14->100"
11,109,106,3,"109->46->106"
14,109,106,3,"109->46->106"
