PacketID,SourceID,DestinationID,CreationTime,DeliveryTime,Delay
78,1008,1007,0,2,2
59,1000,1003,0,3,3
64,1001,1005,0,4,4
85,1009,1004,0,4,4
91,1004,1003,0,4,4
96,1003,1005,0,4,4
51,1007,1000,0,5,5
53,1000,1003,0,5,5
66,1007,1000,0,5,5
77,1007,1000,0,5,5
79,1007,1004,0,5,5
80,1001,1002,0,5,5
81,1003,1004,0,5,5
83,1008,1001,0,5,5
84,1001,1002,0,5,5
87,1008,1000,0,5,5
88,1002,1006,0,5,5
89,1007,1003,0,5,5
95,1009,1003,0,5,5
97,1002,1001,0,5,5
99,1006,1007,0,5,5
0,1009,1003,0,6,6
1,1004,1007,0,6,6
5,1007,1006,0,6,6
7,1002,1001,0,6,6
8,1004,1008,0,6,6
9,1001,1002,0,6,6
10,1004,1001,0,6,6
12,1001,1004,0,6,6
15,1004,1000,0,6,6
17,1007,1005,0,6,6
18,1006,1002,0,6,6
21,1008,1007,0,6,6
23,1007,1000,0,6,6
24,1007,1001,0,6,6
27,1006,1008,0,6,6
28,1001,1009,0,6,6
29,1005,1008,0,6,6
30,1004,1007,0,6,6
31,1007,1003,0,6,6
32,1008,1004,0,6,6
33,1009,1002,0,6,6
34,1005,1007,0,6,6
37,1008,1000,0,6,6
38,1004,1000,0,6,6
40,1002,1006,0,6,6
43,1001,1004,0,6,6
45,1002,1003,0,6,6
48,1007,1002,0,6,6
50,1009,1005,0,6,6
54,1004,1005,0,6,6
56,1000,1006,0,6,6
60,1009,1007,0,6,6
63,1002,1005,0,6,6
82,1005,1009,0,6,6
90,1009,1001,0,6,6
92,1001,1007,0,6,6
94,1003,1009,0,6,6
2,1005,1009,0,7,7
3,1007,1009,0,7,7
4,1005,1003,0,7,7
6,1007,1003,0,7,7
11,1005,1006,0,7,7
13,1002,1006,0,7,7
14,1002,1006,0,7,7
16,1009,1002,0,7,7
19,1007,1009,0,7,7
20,1009,1008,0,7,7
26,1007,1004,0,7,7
44,1001,1003,0,7,7
47,1008,1000,0,7,7
49,1005,1008,0,7,7
52,1002,1000,0,7,7
62,1002,1006,0,7,7
68,1003,1008,0,7,7
75,1009,1001,0,7,7
93,1005,1001,0,7,7
39,1009,1001,0,8,8
46,1008,1005,0,8,8
55,1006,1004,0,8,8
57,1001,1000,0,8,8
61,1005,1006,0,8,8
65,1005,1003,0,8,8
67,1005,1002,0,8,8
69,1003,1007,0,8,8
71,1005,1000,0,8,8
72,1000,1006,0,8,8
73,1003,1006,0,8,8
74,1005,1008,0,8,8
86,1001,1007,0,8,8
98,1001,1000,0,8,8
35,1008,1009,0,9,9
36,1003,1002,0,9,9
41,1000,1004,0,9,9
42,1006,1004,0,9,9
70,1006,1002,0,9,9
76,1003,1002,0,9,9
58,1002,1004,0,10,10
22,1001,1009,0,118,118
25,1001,1009,0,165,165
