PacketID,SourceID,DestinationID,PathLength,Path
78,1008,1007,3,"1008->372->1007"
59,1000,1003,4,"1000->647->643->1003"
64,1001,1005,5,"1001->966->58->5->1005"
85,1009,1004,5,"1009->384->331->278->1004"
91,1004,1003,5,"1004->933->880->827->1003"
96,1003,1005,5,"1003->915->7->954->1005"
51,1007,1000,6,"1007->567->707->654->601->1000"
53,1000,1003,6,"1000->647->643->19->678->1003"
66,1007,1000,6,"1007->807->706->653->600->1000"
77,1007,1000,6,"1007->807->706->653->600->1000"
79,1007,1004,6,"1007->329->326->987->983->1004"
80,1001,1002,6,"1001->257->254->250->247->1002"
81,1003,1004,6,"1003->38->326->987->983->1004"
83,1008,1001,6,"1008->761->758->754->896->1001"
84,1001,1002,6,"1001->257->254->57->343->1002"
87,1008,1000,6,"1008->756->655->602->599->1000"
88,1002,1006,6,"1002->717->714->47->994->1006"
89,1007,1003,6,"1007->928->828->583->867->1003"
95,1009,1003,6,"1009->785->636->824->771->1003"
97,1002,1001,6,"1002->761->758->705->847->1001"
99,1006,1007,6,"1006->462->361->646->593->1007"
0,1009,1003,7,"1009->883->831->828->775->674->1003"
1,1004,1007,7,"1004->558->556->553->500->449->1007"
5,1007,1006,7,"1007->764->4->1->998->849->1006"
7,1002,1001,7,"1002->763->761->757->704->846->1001"
8,1004,1008,7,"1004->532->480->188->471->418->1008"
9,1001,1002,7,"1001->258->16->253->56->389->1002"
10,1004,1001,7,"1004->762->761->757->704->846->1001"
12,1001,1004,7,"1001->995->328->990->986->982->1004"
15,1004,1000,7,"1004->562->464->605->504->790->1000"
17,1007,1005,7,"1007->764->861->857->901->43->1005"
18,1006,1002,7,"1006->258->256->12->345->292->1002"
21,1008,1007,7,"1008->849->654->553->500->497->1007"
23,1007,1000,7,"1007->808->707->654->601->791->1000"
24,1007,1001,7,"1007->762->760->757->704->990->1001"
27,1006,1008,7,"1006->385->191->476->423->322->1008"
28,1001,1009,7,"1001->823->822->818->338->334->1009"
29,1005,1008,7,"1005->193->191->187->471->418->1008"
30,1004,1007,7,"1004->557->555->551->548->447->1007"
31,1007,1003,7,"1007->929->830->826->773->672->1003"
32,1008,1004,7,"1008->327->993->989->366->313->1004"
33,1009,1002,7,"1009->213->64->252->55->435->1002"
34,1005,1007,7,"1005->557->555->551->354->687->1007"
37,1008,1000,7,"1008->757->656->604->551->741->1000"
38,1004,1000,7,"1004->562->656->652->649->741->1000"
40,1002,1006,7,"1002->718->3->49->996->943->1006"
