PacketID,SourceID,DestinationID,CreationTime,DeliveryTime,Delay
600,454,459,43200,43202,2
603,450,457,43200,43202,2
605,452,459,43200,43202,2
609,459,453,43200,43202,2
614,458,457,43200,43202,2
615,450,455,43200,43202,2
617,459,451,43200,43202,2
618,459,456,43200,43202,2
622,452,457,43200,43202,2
623,454,451,43200,43202,2
625,454,453,43200,43202,2
626,457,453,43200,43202,2
628,452,451,43200,43202,2
630,455,456,43200,43202,2
631,458,459,43200,43202,2
633,451,455,43200,43202,2
635,456,452,43200,43202,2
643,453,456,43200,43202,2
648,457,453,43200,43202,2
650,459,452,43200,43202,2
652,458,457,43200,43202,2
653,454,451,43200,43202,2
667,454,456,43200,43202,2
668,450,457,43200,43202,2
672,452,456,43200,43202,2
675,455,458,43200,43202,2
677,457,450,43200,43202,2
679,454,451,43200,43202,2
682,456,450,43200,43202,2
683,459,453,43200,43202,2
685,453,456,43200,43202,2
687,451,459,43200,43202,2
689,459,454,43200,43202,2
690,455,456,43200,43202,2
692,459,451,43200,43202,2
695,451,453,43200,43202,2
700,457,459,43200,43202,2
706,458,455,43200,43202,2
710,455,452,43200,43202,2
713,458,457,43200,43202,2
719,453,455,43200,43202,2
720,451,457,43200,43202,2
721,458,459,43200,43202,2
724,453,455,43200,43202,2
726,457,453,43200,43202,2
727,453,455,43200,43202,2
728,450,451,43200,43202,2
731,457,458,43200,43202,2
733,459,454,43200,43202,2
735,455,456,43200,43202,2
737,452,456,43200,43202,2
738,459,452,43200,43202,2
739,459,456,43200,43202,2
751,458,455,43200,43202,2
755,452,453,43200,43202,2
760,456,455,43200,43202,2
766,457,451,43200,43202,2
767,452,451,43200,43202,2
771,454,458,43200,43202,2
775,456,451,43200,43202,2
782,453,454,43200,43202,2
785,458,451,43200,43202,2
786,451,453,43200,43202,2
788,458,451,43200,43202,2
790,457,455,43200,43202,2
606,450,455,43200,43203,3
608,451,457,43200,43203,3
611,451,452,43200,43203,3
612,455,453,43200,43203,3
619,453,456,43200,43203,3
624,450,456,43200,43203,3
637,455,453,43200,43203,3
638,452,451,43200,43203,3
641,452,450,43200,43203,3
642,456,454,43200,43203,3
649,458,450,43200,43203,3
651,453,451,43200,43203,3
658,456,454,43200,43203,3
660,456,452,43200,43203,3
664,453,451,43200,43203,3
665,455,452,43200,43203,3
674,453,455,43200,43203,3
680,453,450,43200,43203,3
681,452,459,43200,43203,3
691,452,455,43200,43203,3
694,451,459,43200,43203,3
696,458,457,43200,43203,3
701,453,458,43200,43203,3
723,456,454,43200,43203,3
725,454,458,43200,43203,3
729,454,455,43200,43203,3
734,456,454,43200,43203,3
741,458,456,43200,43203,3
744,452,456,43200,43203,3
745,459,453,43200,43203,3
750,450,456,43200,43203,3
757,452,454,43200,43203,3
759,454,459,43200,43203,3
769,459,450,43200,43203,3
772,455,458,43200,43203,3
773,452,450,43200,43203,3
795,453,457,43200,43203,3
602,453,459,43200,43204,4
604,452,457,43200,43204,4
610,456,452,43200,43204,4
629,457,459,43200,43204,4
645,454,458,43200,43204,4
646,455,451,43200,43204,4
654,456,453,43200,43204,4
655,458,455,43200,43204,4
656,455,450,43200,43204,4
657,451,452,43200,43204,4
662,456,459,43200,43204,4
663,451,453,43200,43204,4
669,454,453,43200,43204,4
673,459,450,43200,43204,4
676,457,451,43200,43204,4
684,455,454,43200,43204,4
697,454,459,43200,43204,4
704,456,458,43200,43204,4
708,459,452,43200,43204,4
711,458,453,43200,43204,4
716,459,457,43200,43204,4
718,457,452,43200,43204,4
730,457,450,43200,43204,4
736,450,456,43200,43204,4
746,450,458,43200,43204,4
756,456,452,43200,43204,4
763,455,451,43200,43204,4
764,456,451,43200,43204,4
774,456,453,43200,43204,4
776,450,455,43200,43204,4
779,450,453,43200,43204,4
787,451,455,43200,43204,4
798,451,450,43200,43204,4
613,459,451,43200,43205,5
632,455,452,43200,43205,5
636,451,450,43200,43205,5
639,459,457,43200,43205,5
640,456,458,43200,43205,5
647,452,459,43200,43205,5
661,455,452,43200,43205,5
671,450,452,43200,43205,5
717,450,453,43200,43205,5
740,455,453,43200,43205,5
747,457,456,43200,43205,5
749,454,450,43200,43205,5
752,454,459,43200,43205,5
765,453,457,43200,43205,5
784,455,453,43200,43205,5
793,452,451,43200,43205,5
799,454,451,43200,43205,5
620,458,454,43200,43206,6
621,456,457,43200,43206,6
688,451,450,43200,43206,6
693,457,454,43200,43206,6
698,453,451,43200,43206,6
702,458,454,43200,43206,6
703,450,458,43200,43206,6
707,450,455,43200,43206,6
714,452,456,43200,43206,6
743,456,450,43200,43206,6
761,454,456,43200,43206,6
780,453,459,43200,43206,6
792,456,457,43200,43206,6
794,450,451,43200,43206,6
607,450,454,43200,43207,7
678,456,450,43200,43207,7
709,456,458,43200,43207,7
732,459,453,43200,43207,7
754,458,453,43200,43207,7
762,454,452,43200,43207,7
768,450,458,43200,43207,7
797,453,459,43200,43207,7
634,459,451,43200,43208,8
666,456,459,43200,43208,8
670,457,459,43200,43208,8
715,456,452,43200,43208,8
777,457,454,43200,43208,8
789,453,459,43200,43208,8
686,454,453,43200,43209,9
705,452,453,43200,43209,9
712,456,457,43200,43209,9
742,457,453,43200,43209,9
748,455,452,43200,43209,9
753,454,456,43200,43209,9
758,457,450,43200,43209,9
781,450,454,43200,43209,9
616,452,457,43200,43210,10
778,452,450,43200,43210,10
644,459,450,43200,43211,11
659,458,455,43200,43211,11
722,454,451,43200,43211,11
783,452,454,43200,43211,11
791,454,459,43200,43211,11
796,457,456,43200,43211,11
627,454,457,43200,43212,12
770,451,453,43200,43212,12
699,453,458,43200,43213,13
601,455,457,43200,43216,16
