PacketID,SourceID,DestinationID,CreationTime,DeliveryTime,Delay
1,153,144,0,2,2
13,144,147,0,2,2
14,153,144,0,2,2
39,153,144,0,2,2
46,152,151,0,2,2
64,145,149,0,2,2
89,146,148,0,2,2
90,152,151,0,2,2
92,153,148,0,2,2
131,144,147,0,2,2
140,146,152,0,2,2
144,152,151,0,2,2
37,145,147,0,3,3
65,151,144,0,3,3
76,144,153,0,3,3
88,144,153,0,3,3
111,153,147,0,3,3
128,150,151,0,3,3
134,150,151,0,3,3
143,150,151,0,3,3
145,151,147,0,3,3
10,146,152,0,4,4
25,149,148,0,4,4
53,148,152,0,4,4
56,146,150,0,4,4
59,151,150,0,4,4
61,153,147,0,4,4
67,147,153,0,4,4
68,150,151,0,4,4
70,144,146,0,4,4
72,152,150,0,4,4
77,145,151,0,4,4
78,152,149,0,4,4
79,145,146,0,4,4
80,147,144,0,4,4
81,152,145,0,4,4
85,147,146,0,4,4
86,151,149,0,4,4
95,146,147,0,4,4
98,144,149,0,4,4
100,149,146,0,4,4
104,146,145,0,4,4
105,145,147,0,4,4
106,151,150,0,4,4
107,151,148,0,4,4
109,150,148,0,4,4
112,149,151,0,4,4
113,146,147,0,4,4
116,150,146,0,4,4
119,145,153,0,4,4
120,152,146,0,4,4
122,148,150,0,4,4
124,152,147,0,4,4
125,145,148,0,4,4
126,148,153,0,4,4
127,152,146,0,4,4
129,148,151,0,4,4
130,149,152,0,4,4
132,145,147,0,4,4
133,147,151,0,4,4
135,152,147,0,4,4
138,149,151,0,4,4
141,148,151,0,4,4
148,150,153,0,4,4
149,152,146,0,4,4
0,146,153,0,5,5
4,150,153,0,5,5
5,148,151,0,5,5
7,145,147,0,5,5
9,148,153,0,5,5
16,147,150,0,5,5
22,146,144,0,5,5
27,150,148,0,5,5
29,150,146,0,5,5
30,147,153,0,5,5
43,146,150,0,5,5
57,151,152,0,5,5
63,148,153,0,5,5
83,148,149,0,5,5
123,153,144,0,5,5
136,153,144,0,5,5
2,151,148,0,6,6
8,145,149,0,6,6
19,153,150,0,6,6
41,152,150,0,6,6
44,151,150,0,6,6
45,146,147,0,6,6
49,146,150,0,6,6
50,146,145,0,6,6
52,149,152,0,6,6
71,151,152,0,6,6
146,151,149,0,6,6
102,148,145,0,7,7
118,149,150,0,7,7
3,149,146,0,8,8
40,153,152,0,8,8
51,152,148,0,8,8
58,145,152,0,8,8
66,151,149,0,8,8
75,150,145,0,8,8
96,150,145,0,8,8
121,153,145,0,8,8
139,148,146,0,8,8
147,148,146,0,8,8
47,146,153,0,9,9
69,146,153,0,9,9
115,148,146,0,9,9
18,148,151,0,10,10
23,149,146,0,10,10
24,147,153,0,10,10
33,147,152,0,10,10
48,152,147,0,10,10
62,150,146,0,10,10
82,151,150,0,10,10
99,146,153,0,10,10
101,146,144,0,10,10
21,153,147,0,11,11
28,147,149,0,11,11
38,151,146,0,11,11
36,152,153,0,12,12
11,144,146,0,13,13
17,144,151,0,13,13
60,150,144,0,13,13
74,153,145,0,13,13
84,149,151,0,13,13
91,147,151,0,13,13
93,152,144,0,13,13
142,152,150,0,13,13
6,153,150,0,14,14
12,150,149,0,14,14
15,149,147,0,14,14
42,152,149,0,14,14
94,150,145,0,14,14
117,147,153,0,14,14
34,147,151,0,15,15
35,144,146,0,15,15
103,147,153,0,15,15
20,149,147,0,16,16
137,145,147,0,16,16
31,146,145,0,17,17
54,144,146,0,17,17
110,149,145,0,32,32
26,144,151,0,33,33
87,145,150,0,34,34
97,145,149,0,42,42
73,151,144,0,80,80
