SourceID,DestinationID,Delivered,Total,DeliveryRatio
144,146,4,4,1
144,147,2,2,1
144,149,1,1,1
144,151,2,2,1
144,153,2,2,1
145,146,1,1,1
145,147,5,5,1
145,148,1,1,1
145,149,3,3,1
145,150,1,1,1
145,151,1,1,1
145,152,1,1,1
145,153,1,1,1
146,144,2,2,1
146,145,3,3,1
146,147,3,3,1
146,148,1,1,1
146,150,3,3,1
146,152,2,2,1
146,153,4,4,1
147,144,1,1,1
147,146,1,1,1
147,149,1,1,1
147,150,1,1,1
147,151,3,3,1
147,152,1,1,1
147,153,5,5,1
148,145,1,1,1
148,146,3,4,0.75
148,149,1,1,1
148,150,1,1,1
148,151,4,4,1
148,152,1,1,1
148,153,3,3,1
149,145,1,1,1
149,146,3,3,1
149,147,2,2,1
149,148,1,1,1
149,150,1,1,1
149,151,3,3,1
149,152,2,2,1
150,144,1,1,1
150,145,3,3,1
150,146,3,3,1
150,148,2,2,1
150,149,1,1,1
150,151,4,4,1
150,153,2,2,1
151,144,2,2,1
151,146,1,1,1
151,147,1,1,1
151,148,2,2,1
151,149,3,3,1
151,150,4,4,1
151,152,2,2,1
151,153,0,1,0
152,144,1,1,1
152,145,1,1,1
152,146,3,4,0.75
152,147,3,4,0.75
152,148,1,1,1
152,149,2,2,1
152,150,3,3,1
152,151,3,3,1
152,153,1,1,1
153,144,5,5,1
153,145,2,2,1
153,147,3,3,1
153,148,1,1,1
153,150,2,2,1
153,152,1,1,1
